Day,Discipline_Code,Event,Phase,Venue
2024-07-31,BKB,Women,Women''s Group Phase - Group A,Pierre Mauroy Stadium
2024-07-31,VBV,Women,Women''s Preliminary - Pool C - Matches,Eiffel Tower Stadium
2024-07-31,BOX,Men''s 57kg,Men''s 57kg - Prelims - Round of 16,North Paris Arena
2024-07-31,DIV,Women''s Synchronised 10m Platform,Women''s Synchronised 10m Platform,Aquatics Centre
2024-07-31,HBL,Men,Men''s Preliminary Round Group A,South Paris Arena 6
2024-07-31,SWM,Women''s 200m Breaststroke,Women''s 200m Breaststroke - Heats,Paris La Defense Arena
2024-07-31,ROW,Lightweight Men''s Double Sculls,LWT Men''s Double Sculls Semifinals,Nautical St - Flat water
2024-07-31,JUD,Men -90 kg,Men -90 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-31,SWM,Men''s 200m Backstroke,Men''s 200m Backstroke - Heats,Paris La Defense Arena
2024-07-31,BOX,Men''s 71kg,Men''s 71kg - Prelims - Round of 16,North Paris Arena
2024-07-31,ROW,Lightweight Women''s Double Sculls,LWT Women''s Double Sculls Semifinals,Nautical St - Flat water
2024-07-31,JUD,Women -70 kg,Women -70 kg Quarterfinals,Champ-de-Mars Arena
2024-07-31,SWM,Women''s 200m Butterfly,Women''s 200m Butterfly - Heats,Paris La Defense Arena
2024-07-31,ARC,Men''s Individual,Men''s Individual 1-32 Elimination Round,Invalides
2024-07-31,VBV,Women,Women''s Preliminary - Pool D - Matches,Eiffel Tower Stadium
2024-07-31,TEN,Men''s Singles,Men''s Singles Third Round,Roland-Garros Stadium
2024-07-31,TEN,Women''s Singles,Women''s Singles Quarter-finals,Roland-Garros Stadium
2024-07-31,TEN,Women''s Doubles,Women''s Doubles Second Round,Roland-Garros Stadium
2024-07-31,TEN,Mixed Doubles,Mixed Doubles Quarter-finals,Roland-Garros Stadium
2024-07-31,ROW,Men''s Quadruple Sculls,Men''s Quad. Sculls Finals,Nautical St - Flat water
2024-07-31,BOX,Women''s 75kg,Women''s 75kg - Prelims - Round of 16,North Paris Arena
